"Event","White","Black","Result","UTCDate","UTCTime","WhiteElo","BlackElo","WhiteRatingDiff","BlackRatingDiff","ECO","Opening","TimeControl","Termination","AN"
" Classical ","prados","kent33","0-1","2016.07.01","13:04:26","2031","2043","-9.0","10.0","A45","Indian Game","480+0","Normal","1. d4 Nf6 2. e3 d6 3. Be2 c6 4. Nf3 Nbd7 5. Nbd2 Qc7 6. O-O e5 7. dxe5 dxe5 8. e4 Be7 9. b3 O-O 10. Bb2 Re8 11. Rb1 Bf8 12. Bc4 b5 13. Bd3 Nc5 14. Be2 Bg4 15. Nxe5 Bxe2 16. Qxe2 Rxe5 17. Bxe5 Qxe5 18. f3 Qc3 19. b4 Ne6 20. Qd3 Qxd3 21. cxd3 Rd8 22. Rb3 Nd4 23. Rbb1 g6 24. a3 Ne2+ 25. Kf2 Nc3 26. Rb3 Rxd3 27. Nb1 Ncxe4+ 28. fxe4 Rxb3 29. e5 Ne4+ 30. Ke2 Bh6 31. Rd1 Rxb1 32. Rxb1 Nc3+ 0-1"
" Blitz ","izetfazlinovic","McRobPoint","1-0","2016.07.01","13:04:27","2003","1979","10.0","-12.0","B77","Sicilian Defense: Dragon Variation, Yugoslav Attack, Main Line","300+0","Normal","1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 g6 5. f3 Bg7 6. Be3 Nf6 7. Bc4 O-O 8. Nc3 Nc6 9. Qd2 Na5 10. Bb3 Nxb3 11. axb3 b6 12. g4 Bb7 13. Bh6 d5 14. e5 Nd7 15. Bxg7 Kxg7 16. f4 e6 17. h4 Nc5 18. Qh2 Ne4 19. h5 Rh8 20. O-O-O Nxc3 21. bxc3 Qc7 22. Qh3 Rac8 23. Kb2 a5 24. f5 Qxe5 25. fxe6 Rce8 26. exf7 Kxf7 27. hxg6+ hxg6 28. Qxh8 Rxh8 29. Rdf1+ Kg7 30. Rhg1 Ba6 31. Re1 Qb8 32. Re7+ Kf6 33. Re6+ Kf7 34. g5 Rh2 35. Rf6+ Kg7 36. Re1 Qf8 37. Ne6+ Kh7 38. Nxf8+ Kg7 39. Ne6+ Kh7 40. Nc7 Bc8 41. Re7+ 1-0"
" Classical ","Atiladanvi","J_Karlo","1-0","2016.07.01","13:04:24","1222","1265","13.0","-21.0","A40","Horwitz Defense","900+10","Normal","1. d4 { [%eval 0.24] } 1... e6 { [%eval 0.22] } 2. c4 { [%eval 0.25] } 2... Nc6 { [%eval 0.29] } 3. Nc3 { [%eval 0.29] } 3... Bb4 { [%eval 0.28] } 4. Nf3 { [%eval 0.3] } 4... Nf6 { [%eval 0.32] } 5. Bd2 { [%eval 0.3] } 5... d5 { [%eval 0.23] } 6. e3 { [%eval 0.35] } 6... dxc4 { [%eval 0.56] } 7. Bxc4 { [%eval 0.47] } 7... O-O { [%eval 0.55] } 8. O-O { [%eval 0.43] } 8... Bd7 { [%eval 0.6] } 9. a3 { [%eval 0.58] } 9... Ba5 { [%eval 0.96] } 10. b4 { [%eval 0.92] } 10... Bb6 { [%eval 0.92] } 11. Qc2 { [%eval 0.9] } 11... a5 { [%eval 1.08] } 12. Na4 { [%eval 1.18] } 12... axb4 { [%eval 1.2] } 13. axb4 { [%eval 1.22] } 13... Nxb4? { [%eval 3.58] } 14. Bxb4 { [%eval 3.53] } 14... Bxa4 { [%eval 3.49] } 15. Rxa4 { [%eval 3.67] } 15... Rxa4 { [%eval 3.94] } 16. Qxa4 { [%eval 3.87] } 16... Re8 { [%eval 3.86] } 17. Ne5 { [%eval 3.51] } 17... Qa8 { [%eval 3.82] } 18. Ra1 { [%eval 3.5] } 18... Ne4?? { [%eval #10] } 19. Qxa8 { [%eval #10] } 19... Rxa8 { [%eval #1] } 20. Rxa8# 1-0"
" Bullet ","reydmus","d1mka988","0-1","2016.07.01","13:04:29","1298","1319","-11.0","11.0","C41","Philidor Defense #3","60+1","Time forfeit","1. e4 e5 2. Nf3 d6 3. Bc4 Be6 4. Bxe6 fxe6 5. d4 exd4 6. Nxd4 e5 7. Nf5 Nf6 8. Bg5 h6 9. Bxf6 Qxf6 10. Qh5+ g6 11. Qf3 gxf5 12. exf5 Nd7 13. Nc3 O-O-O 14. Nd5 Qf7 15. Qc3 Nc5 16. O-O-O c6 17. b4 cxd5 18. bxc5 dxc5 19. Rhe1 d4 20. Qg3 Qxf5 21. Rxe5 Qd7 22. c4 h5 23. h4 Bh6+ 24. Kb1 Qc6 25. Qh3+ Kc7 26. Re7+ Rd7 27. Rde1 Rxe7 28. Rxe7+ Kb8 29. Qg3+ Ka8 30. Qf3 Qb6+ 31. Ka1 Rb8 0-1"
" Classical ","AkmalKhasanov7","muedi","1-0","2016.07.01","13:04:30","1773","1882","31.0","-15.0","B32","Sicilian Defense: Loewenthal Variation","600+0","Normal","1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 e5 5. Nxc6 bxc6 6. Bc4 Be7 7. O-O Nf6 8. Nc3 O-O 9. Kh1 Bb7 10. f4 d5 11. exd5 cxd5 12. Bb3 e4 13. f5 d4 14. Ne2 d3 15. cxd3 exd3 16. Nf4 Qc7 17. Qxd3 Rad8 18. Qh3 Bc5 19. Nh5 Ne4 20. f6 Nf2+ 21. Rxf2 Bxf2 22. fxg7 Rfe8 23. Nf6+ Kxg7 24. Qh6+ Kh8 25. Qxh7# 1-0"
" Blitz ","cholosimeone","perrocabron","0-1","2016.07.01","13:04:30","2010","2008","-10.0","11.0","A46","Yusupov-Rubinstein System","180+0","Time forfeit","1. d4 Nf6 2. Nf3 e6 3. e3 b6 4. Bd3 Bb7 5. O-O Be7 6. b3 O-O 7. Bb2 d5 8. Nbd2 Nbd7 9. c4 c5 10. Qe2 cxd4 11. exd4 Rc8 12. a3 Qc7 13. Rac1 Qf4 14. g3 Qg4 15. Rfe1 Nh5 16. Ne5 Qxe2 17. Rxe2 Nxe5 18. Rxe5 g6 19. Rce1 Nf6 20. h3 Rfd8 21. f4 Nh5 22. Kf2 Bf6 23. R5e3 dxc4 24. bxc4 Bxd4 25. Bxd4 Rxd4 26. Nb3 Rd7 27. Be2 Nf6 28. Bf3 Bxf3 29. Kxf3 Rxc4 30. g4 Nd5 31. Rd3 Rxf4+ 32. Kg3 Rc4 33. Nd4 Rc3 34. Rxc3 Nxc3 35. Nf3 Rd3 36. Kf4 Nd5+ 37. Ke4 Rxa3 38. Ne5 Kg7 39. Rc1 f5+ 40. gxf5 gxf5+ 41. Kd4 Ra4+ 42. Kd3 Kf6 43. Nc6 Ra3+ 44. Kc4 Rxh3 45. Kb5 a6+ 46. Kxa6 f4 47. Kb7 f3 48. Kc8 f2 49. Kd7 Rf3 50. Rf1 Ne3 0-1"
" Bullet ","Mumuka31","ladyboner3000","0-1","2016.07.01","13:04:32","1180","1324","-19.0","14.0","C41","Philidor Defense #3","0+1","Time forfeit","1. e4 e5 2. Nf3 d6 3. Bc4 Nc6 4. Nc3 Nf6 5. d4 g6 6. dxe5 dxe5 7. Nxe5 Qxd1+ 8. Kxd1 Nxe5 0-1"
" Bullet tournament ","GMHschnb","lenj0","1-0","2016.07.01","13:04:32","1910","1618","3.0","-4.0","A00","Hungarian Opening","60+0","Time forfeit","1. g3 e6 2. Bg2 c6 3. e3 d5 4. Ne2 Nd7 5. O-O Ngf6 6. d4 g6 7. Nd2 Bg7 8. b3 O-O 9. Bb2 b6 10. Rc1 Bb7 11. Ba1 Rc8 12. c4 Re8 13. Nf4 Nf8 14. Nd3 N6d7 15. Ne5 Qc7 16. Ndf3 f6 17. Nxd7 Qxd7 18. cxd5 exd5 19. e4 dxe4 20. Nd2 f5 21. Nc4 b5 22. Ne5 Qe6 23. Qc2 Nd7 24. Nxd7 Qxd7 25. Rfe1 Bf6 26. Rcd1 Rcd8 27. Qe2 Qe6 28. h4 Rd7 29. d5 cxd5 30. Rc1 Bxa1 31. Rcd1 Be5 32. Qd2 Red8 33. Qe2 Bf6 34. f3 Kg7 35. fxe4 dxe4 36. h5 Rxd1 37. Rxd1 Rxd1+ 38. Qxd1 Qd5 39. h6+ 1-0"
" Blitz tournament ","shoaip","Leonardobes","0-1","2016.07.01","13:04:29","1715","1931","-6.0","5.0","A00","Polish Opening","180+0","Normal","1. b4 d5 2. Bb2 e6 3. e3 f5 4. Nf3 Nf6 5. a3 Bd6 6. c4 c6 7. c5 Bc7 8. Be2 Nbd7 9. d4 O-O 10. Nfd2 Ne4 11. f4 Qh4+ 12. g3 Nxg3 13. hxg3 Qxh1+ 14. Nf1 Nf6 15. Nd2 Ne4 16. Nxe4 fxe4 17. Qd2 g5 18. O-O-O gxf4 19. gxf4 Qh3 20. Re1 b6 21. Qd1 bxc5 22. dxc5 a5 23. Ng3 axb4 24. Rg1 Kf7 25. axb4 Ba6 26. Bh5+ Ke7 27. Nf5+ Qxf5 28. Rg7+ Kd8 29. Qa4 Bxf4 30. Qa5+ Kc8 31. Qb6 Bxe3+ 32. Kb1 Qf1+ 33. Ka2 Bc4# 0-1"
" Classical ","skiinyvatoww","aimery","1-0","2016.07.01","13:04:31","1654","1585","10.0","-9.0","A00","Van't Kruijs Opening","600+0","Normal","1. e3 d5 2. Bb5+ Nc6 3. c4 a6 4. Bxc6+ bxc6 5. cxd5 Qxd5 6. Nc3 Qg5 7. Qf3 Bd7 8. Ne4 Qb5 9. Ne2 e6 10. N2c3 Qe5 11. d4 Qa5 12. O-O Bb4 13. Qg3 g6 14. Bd2 c5 15. Qe5 f6 16. Nxf6+ Nxf6 17. Qxf6 Rf8 18. Qg7 cxd4 19. exd4 Bd6 20. Qxh7 Bc6 21. Qxg6+ Kd8 22. Bg5+ Kc8 23. Bh6 Rd8 24. Qxe6+ Kb8 25. a3 Qh5 26. Qh3 Qxh3 27. gxh3 Rh8 28. Be3 Rxh3 29. Rfe1 Ka7 30. d5+ Kb7 31. dxc6+ Kxc6 32. Rac1 Rg8+ 33. Kf1 Rxh2 34. Ne4+ Kd7 35. Nf6+ Ke7 36. Nxg8+ Kf8 37. Nf6 Ke7 38. Bf4+ Kf7 39. Bxh2 Bxh2 40. Ng4 Bd6 41. b4 Bf4 42. Rc4 Bd6 43. Re3 Kg6 44. Rf3 Kg5 45. Ne3 Kg6 46. Rg4+ Kh5 47. Rh3# 1-0"
" Bullet ","ros0l1mo","otstavnik60","1-0","2016.07.01","13:04:27","2011","1969","9.0","-9.0","C27","Vienna Game","30+0","Normal","1. e4 e5 2. Nc3 d5 3. exd5 f5 4. Nf3 c6 5. dxc6 e4 6. cxb7 Nc6 7. bxc8=Q Rxc8 8. Ng1 Bb4 9. Bc4 Nf6 10. Nge2 Ne5 11. Bb5+ Nfd7 12. O-O Rc5 13. a3 Bxc3 14. Nxc3 Rxc3 15. dxc3 O-O 16. Qd5+ Kh8 17. Bf4 Qe7 18. Rad1 Nf6 19. Qxe5 Qxe5 20. Bxe5 Ng4 21. Bf4 e3 22. Bxe3 Nxe3 23. fxe3 f4 24. Bc4 Re8 25. Rd7 h5 26. Rxf4 h4 27. Rxh4# 1-0"
" Blitz ","pacitoto","Mister34","1-0","2016.07.01","13:04:28","1439","1500","8.0","-206.0","C44","Scotch Game","180+0","Normal","1. e4 e5 2. Nf3 Nc6 3. d4 d6 4. d5 Nd4 5. Nxd4 exd4 6. Qxd4 Nf6 7. Nc3 Be7 8. Bg5 O-O 9. Be2 c5 10. Qd2 b6 11. Bxf6 Bxf6 12. Bb5 a6 13. Bc6 Bb7 14. Bxb7 Ra7 15. Bc6 Qc8 16. O-O Re8 17. f3 Bd4+ 18. Kh1 a5 19. Nb5 Qa6 20. Nxd6 Rd8 21. Nf5 g6 22. Nh6+ Kh8 23. Nxf7+ Kg7 24. Nxd8 Qc8 25. Ne6+ Qxe6 26. dxe6 1-0"
" Blitz ","arstelli","kozzika-beast","1-0","2016.07.01","13:04:31","2279","1994","3.0","-5.0","C48","Four Knights Game: Spanish Variation, Rubinstein Variation","180+0","Time forfeit","1. Nc3 e5 2. e4 Nf6 3. Nf3 Nc6 4. Bb5 Nd4 5. Ba4 Bd6 6. O-O c6 7. d3 h6 8. Be3 b5 9. Bb3 Nxb3 10. axb3 O-O 11. Ne2 Bc7 12. Rxa7 Rxa7 13. Bxa7 d5 14. exd5 cxd5 15. Bc5 Re8 16. b4 Bg4 17. Ng3 e4 18. dxe4 dxe4 19. Qxd8 Rxd8 20. Nd4 Be5 21. Nxb5 Bxb2 22. c4 Rd2 23. Be3 Rc2 24. c5 Nd5 25. Nd4 Bxd4 26. Bxd4 Nxb4 27. h3 Be2 28. Nxe2 Rxe2 29. Rb1 Nc2 30. Be5 e3 31. fxe3 Nxe3 32. c6 Rxg2+ 33. Kh1 Rc2 34. c7 Kh7 35. Rb8 Rc1+ 36. Kh2 Rc2+ 37. Kg3 Nf5+ 38. Kf4 Ne7 39. Bd6 Nd5+ 40. Ke5 Nxc7 41. Bxc7 Rxc7 42. Kd6 Rc2 43. Rb7 Rd2+ 44. Ke5 Re2+ 45. Kf4 Rf2+ 46. Kg3 Rf6 47. Rc7 Rg6+ 48. Kh2 Rf6 49. Rc8 Kg6 50. Rc4 1-0"
" Bullet tournament ","ArcticWP","Takeda","0-1","2016.07.01","13:04:32","2271","2198","-17.0","16.0","A43","Old Benoni Defense #2","60+0","Normal","1. d4 c5 2. d5 e6 3. c4 exd5 4. cxd5 d6 5. Nc3 Be7 6. e4 Nf6 7. f4 O-O 8. Nf3 Re8 9. h3 Nbd7 10. Bd3 Nf8 11. O-O a6 12. a4 Rb8 13. a5 b5 14. axb6 Qxb6 15. e5 c4+ 16. Kh1 cxd3 17. exf6 Bxf6 18. Qxd3 Ng6 19. Ng5 Bxg5 20. fxg5 Ne5 21. Qg3 Qb3 22. Bf4 Bf5 23. Rae1 Nd3 24. Rxe8+ Rxe8 25. Rf3 Qc2 26. Bxd6 Re1+ 27. Kh2 Qc1 28. Qh4 Rh1+ 29. Kg3 Qe1+ 30. Rf2 Qxf2# 0-1"
" Blitz ","Lind","RaduTM","0-1","2016.07.01","13:04:33","1556","1674","-8.0","8.0","B07","Pirc Defense #4","180+0","Normal","1. e4 d6 2. Nf3 Nf6 3. Bc4 Nxe4 4. d3 Nf6 5. Ng5 e6 6. Nc3 d5 7. Bb3 g6 8. Ba4+ Bd7 9. Bxd7+ Nbxd7 10. Bf4 Bg7 11. O-O O-O 12. Ne2 e5 13. Bg3 Nh5 14. Re1 Qxg5 15. c4 Nxg3 16. Nxg3 c6 17. Rc1 Rfe8 18. cxd5 cxd5 19. Rc7 Nf6 20. Rxb7 Reb8 21. Rxb8+ Rxb8 22. Qa4 Rxb2 23. f4 exf4 24. Re8+ Nxe8 25. Qxe8+ Bf8 26. Nf1 0-1"
" Blitz tournament ","ram44","KindOfSick","0-1","2016.07.01","13:04:29","1702","2195","-2.0","5.0","B01","Scandinavian Defense: Modern Variation #2","180+0","Normal","1. e4 { [%eval 0.24] } 1... d5 { [%eval 0.68] } 2. exd5 { [%eval 0.59] } 2... Nf6 { [%eval 0.64] } 3. Nc3 { [%eval 0.24] } 3... Nxd5 { [%eval 0.26] } 4. Nxd5 { [%eval -0.12] } 4... Qxd5 { [%eval -0.12] } 5. c4 { [%eval -0.6] } 5... Qd6?! { [%eval -0.06] } 6. d4 { [%eval 0.07] } 6... g6 { [%eval 0.05] } 7. Be3 { [%eval 0.0] } 7... Bg7 { [%eval 0.12] } 8. Nf3 { [%eval 0.0] } 8... c5 { [%eval 0.0] } 9. dxc5 { [%eval -0.16] } 9... Qxd1+ { [%eval -0.15] } 10. Rxd1 { [%eval -0.08] } 10... Bxb2 { [%eval -0.08] } 11. Rb1 { [%eval -0.46] } 11... Bc3+ { [%eval -0.43] } 12. Bd2 { [%eval -0.55] } 12... Bxd2+ { [%eval -0.45] } 13. Nxd2 { [%eval -0.56] } 13... Bf5?! { [%eval 0.11] } 14. Rxb7 { [%eval 0.0] } 14... Nc6 { [%eval 0.0] } 15. Be2 { [%eval 0.14] } 15... O-O { [%eval 0.56] } 16. O-O { [%eval 0.21] } 16... Nd4 { [%eval 0.55] } 17. Bf3 { [%eval 0.21] } 17... Nxf3+ { [%eval 0.27] } 18. Nxf3 { [%eval 0.25] } 18... Rac8 { [%eval 0.63] } 19. Rxe7 { [%eval 0.51] } 19... Rxc5 { [%eval 0.81] } 20. Rxa7 { [%eval 0.71] } 20... Rxc4 { [%eval 0.68] } 21. a4 { [%eval 0.81] } 21... Bg4?! { [%eval 1.78] } 22. Ne5 { [%eval 1.69] } 22... Rb4 { [%eval 1.82] } 23. a5 { [%eval 1.46] } 23... Be2 { [%eval 1.65] } 24. Re1 { [%eval 1.56] } 24... Bb5 { [%eval 1.46] } 25. Nd7? { [%eval 0.0] } 25... Rd8 { [%eval 0.29] } 26. Nf6+?! { [%eval -0.46] } 26... Kg7 { [%eval -0.39] } 27. Ne4?? { [%eval -3.74] } 27... Rxe4 { [%eval -3.67] } 0-1"
" Classical ","benjiayala","kaboom231","0-1","2016.07.01","13:04:34","1889","1931","-9.0","12.0","B40","Sicilian Defense: French Variation, Open","300+5","Normal","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Qc7 5. Nc3 a6 6. g3 Nf6 7. Bf4 e5 0-1"
" Bullet ","RRiicchhaarrdd","fahemCHESS","1-0","2016.07.01","13:04:28","1760","1696","10.0","-10.0","B21","Sicilian Defense: McDonnell Attack","0+3","Normal","1. e4 c5 2. f4 Nc6 3. Nf3 d6 4. b3 Bg4 5. Bb2 Bxf3 6. Qxf3 Nf6 7. Nc3 g6 8. Bb5 Bg7 9. O-O-O Rc8 10. e5 dxe5 11. fxe5 Nd7 12. e6 fxe6 13. Rhf1 Nf6 14. Ne4 O-O 15. Nxf6+ Bxf6 16. Bxf6 Rxf6 17. Qe2 Qd6 18. Rxf6 exf6 19. Rf1 Rf8 20. Qf3 f5 21. Bc4 Kg7 22. Qc3+ e5 23. Re1 Re8 24. g3 Re7 25. Bb5 a6 26. Bc4 b5 27. Be2 Nd4 28. Bf1 Qd5 29. a4 Nf3 30. Re3 Nd4 31. Rd3 Kf6 32. Bg2 Qxg2 33. axb5 Qf1+ 34. Kb2 Nxb5 35. Qxc5 Qe2 36. Qb6+ Re6 37. Qd8+ Re7 38. Qd5 Qe4 39. Qc5 Qb7 40. c4 Nd4 41. g4 Rc7 42. Qf8+ Rf7 43. Qh8+ Kg5 44. gxf5 gxf5 45. Qg8+ Kf6 46. Qh8+ Rg7 47. Qd8+ Qe7 48. Qb6+ Qe6 49. Qd8+ Qe7 50. Qb6+ Kf7 51. Qxa6 Rg8 52. Rh3 Kg7 53. Qh6+ Kh8 54. Qh5 Qf7 55. Qxf7 h6 56. Rxh6# 1-0"
" Blitz ","barobeyi","Odiss","1/2-1/2","2016.07.01","13:04:32","1605","1633","1.0","0.0","C41","Philidor Defense #3","120+2","Normal","1. e4 e5 2. Nf3 d6 3. Bc4 h6 4. h3 Nf6 5. d3 c6 6. Be3 a5 7. a3 b5 8. Bb3 Ba6 9. Qd2 Be7 10. O-O O-O 11. g4 Nh7 12. Kh2 Bf6 13. Rg1 Bg5 14. Bxg5 Nxg5 15. Nxg5 Qxg5 16. Qxg5 hxg5 17. Nd2 a4 18. Ba2 Kh7 19. Nf3 Kh6 20. Kg2 g6 21. Rh1 f5 22. gxf5 gxf5 23. exf5 Rxf5 24. Kg3 Nd7 25. Be6 Rxf3+ 26. Kxf3 Nc5 27. Bg4 Rf8+ 28. Kg3 e4 29. h4 exd3 30. hxg5+ Kxg5 31. Rh5+ Kg6 32. cxd3 Nxd3 33. Rd1 b4 34. axb4 d5 35. Rdh1 Nxf2 36. Rh6+ Kf7 37. Rf1 Kg7 38. Rxf2 Rxf2 39. Kxf2 Kxh6 40. Ke3 Bb5 41. Kd4 Kg5 42. Bd7 Kf4 43. Kc5 Kf3 44. Bxc6 Bxc6 45. Kxc6 d4 46. b5 d3 47. b6 d2 48. b7 d1=Q 49. b8=Q Qc1+ 50. Kd7 Qd2+ 51. Ke6 Qe3+ 52. Kf5 Qc5+ 53. Ke6 Qe3+ 54. Kd7 Qd4+ 55. Kc8 Qc5+ 56. Kd7 Qd5+ 57. Ke7 Qe4+ 58. Kd8 Qd5+ 59. Kc8 Qc5+ 60. Qc7 Qxc7+ 61. Kxc7 Ke3 62. Kb6 Kd3 63. Ka5 Kc2 64. Kxa4 Kxb2 1/2-1/2"
" Classical ","berbat","kabachok","1-0","2016.07.01","13:04:33","1482","1563","14.0","-13.0","D06","Queen's Gambit Refused: Marshall Defense","480+0","Time forfeit","1. d4 Nf6 2. c4 d5 3. cxd5 Qxd5 4. Nc3 Qc4 5. e4 Qb4 6. e5 Nfd7 7. Nf3 f6 8. a3 Qb6 9. exf6 gxf6 10. Nd5 Qa5+ 11. Nc3 e5 12. b4 Qb6 13. Nd5 Qd6 14. Bc4 b5 15. Bb3 c6 16. Ne3 e4 17. Nd2 Qf4 18. g3 Qh6 19. O-O Qh3 20. Nxe4 Bh6 21. Nf5 Qxf5 22. Bxh6 Qxe4 23. Qh5+ Kd8 24. Bg7 Rg8 25. Bxg8 Nb6 26. Rae1 Qg6 27. Qxg6 hxg6 28. Bxf6+ Kc7 29. Be5+ Kb7 30. Bxb8 Rxb8 31. Re7+ Nd7 32. Rxd7+ Bxd7 33. Bh7 Re8 34. Bxg6 Bh3 35. Rd1 Re6 36. Bc2 Re2 37. a4 Rxc2 38. axb5 1-0"
" Bullet ","MorphyTalFischer","Kilipp","1-0","2016.07.01","13:04:33","1650","1545","8.0","-8.0","C00","French Defense: Knight Variation","60+0","Time forfeit","1. e4 e6 2. Nf3 Bc5 3. d4 Bb4+ 4. Nc3 Be7 5. Bg5 h6 6. Bxe7 Nxe7 7. Bd3 Nbc6 8. O-O Nb4 9. a3 Nxd3 10. Qxd3 f6 11. Rad1 d6 12. Rfe1 Bd7 13. e5 dxe5 14. dxe5 Nd5 15. exf6 Nxc3 16. Qg6+ Kf8 17. fxg7+ Kg8 18. gxh8=Q+ Kxh8 19. bxc3 Qg8 20. Qh5 Be8 21. Qe5+ Kh7 22. Nh4 Bh5 23. Rd7+ Bf7 24. Nf3 Rf8 25. Nd4 Qg6 26. Nxe6 Rg8 27. g3 h5 28. Nf4 Kh6 29. Nxg6 1-0"
" Classical ","Stepanow","MICROTEC","1-0","2016.07.01","13:04:33","1715","1630","10.0","-9.0","D00","Queen's Pawn Game: Mason Attack","1800+0","Normal","1. d4 d5 2. Bf4 Nc6 3. Nf3 Bg4 4. e3 e6 5. c3 Be7 6. Bd3 Nf6 7. h3 Bh5 8. O-O O-O 9. Nbd2 Bd6 10. Bg5 h6 11. Bh4 Bxf3 12. Qxf3 Be7 13. Bg3 Nh7 14. e4 Ng5 15. Qg4 f5 16. exf5 exf5 17. Bxf5 Bf6 18. h4 Nf7 19. Qg6 Ne7 20. Qh7# 1-0"
" Blitz ","ArminTanzarian","cheenko","1-0","2016.07.01","13:04:34","2595","2419","6.0","-6.0","A40","Mikenas Defense","180+0","Time forfeit","1. d4 Nc6 2. Nf3 d6 3. h3 f5 4. Nc3 Nf6 5. Bg5 e6 6. e4 fxe4 7. Nxe4 Be7 8. Bxf6 Bxf6 9. c3 O-O 10. Bd3 e5 11. dxe5 Nxe5 12. Nxe5 Bxe5 13. Qe2 Qh4 14. O-O-O d5 15. Nd2 Qf6 16. g3 d4 17. Ne4 Qh6+ 18. f4 dxc3 19. Kb1 Bf6 20. Nxc3 Bxc3 21. bxc3 Be6 22. Bc4 Bxc4 23. Qxc4+ Kh8 24. Qd3 c5 25. f5 b5 26. g4 b4 27. c4 a5 28. h4 a4 29. g5 Qb6 30. h5 b3 31. a3 Rad8 32. Qc3 Rxd1+ 33. Rxd1 Rd8 34. Re1 Qd6 35. h6 Qf8 36. hxg7+ Qxg7 37. Qxg7+ Kxg7 38. Re7+ Kg8 39. Rc7 Rd1+ 40. Kb2 Rf1 41. Rxc5 Rf2+ 42. Kc3 h5 43. gxh6 Kh7 44. Ra5 b2 45. Rb5 Kxh6 46. Rxb2 Rf3+ 47. Kb4 Rxf5 48. Kxa4 Rf8 49. Kb4 Rb8+ 50. Kc3 Ra8 51. Rb3 Rc8 52. Kb4 Rb8+ 53. Kc3 Ra8 54. Rb5 Rxa3+ 55. Kd4 Ra1 56. Rb6+ Kh5 57. Rb5+ Kg4 58. Rb6 Rd1+ 59. Kc5 Rc1 60. Re6 Kf5 61. Re8 Rc2 62. Rf8+ 1-0"
" Blitz ","Asgaard","dpakoh","0-1","2016.07.01","13:04:33","2036","2030","-20.0","12.0","B12","Caro-Kann Defense: Advance Variation, Botvinnik-Carls Defense","180+2","Normal","1. e4 c6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. f4 Bf5 6. Bd3 Bxd3 7. Qxd3 cxd4 8. cxd4 Qb6 9. Nf3 e6 10. Nc3 Nge7 11. O-O Nf5 12. Be3 Be7 13. g4 Nxe3 14. Qxe3 Rc8 15. f5 O-O 16. Nd2 Qxd4 17. Qxd4 Nxd4 18. f6 gxf6 19. exf6 Bc5 20. Kg2 Bb4 21. Rf4 Bxc3 22. bxc3 Nc2 23. Rc1 Rxc3 24. Kf2 Rfc8 25. h4 a5 26. g5 Nb4 27. Rxc3 Rxc3 28. Rf3 Rc2 29. Ke3 Rxa2 30. h5 Ra3+ 31. Kf4 e5+ 32. Kxe5 Rxf3 33. Nxf3 a4 34. Nh4 a3 35. g6 a2 36. Kd6 a1=Q 37. gxh7+ Kxh7 38. Ke7 Qe5+ 39. Kxf7 Qxh5+ 40. Ke7 Qxh4 41. Kf8 Qxf6+ 42. Ke8 Qg7 43. Kd8 b5 44. Kc8 Kg6 45. Kb8 Kf6 0-1"
" Blitz tournament ","HydraxDev","Mahmoud86","1-0","2016.07.01","13:04:35","2019","1638","3.0","-3.0","D11","Slav Defense: Modern Line","180+2","Normal","1. d4 c6 2. c4 d5 3. Nf3 e6 4. e3 dxc4 5. Bxc4 Nf6 6. b3 Nbd7 7. Bb2 c5 8. Nbd2 cxd4 9. Nxd4 a6 10. N2f3 b5 11. Bd3 Bb7 12. Rc1 Bb4+ 13. Nd2 O-O 14. O-O Ne5 15. Be2 Qd5 16. N2f3 Ne4 17. a3 Bd6 18. Re1 Nxf2 19. Kxf2 Ng4+ 20. Kg1 Qh5 21. h3 Bg3 22. hxg4 Qh6 23. g5 Qh5 24. Rf1 e5 25. Nf5 Bxf3 26. Nxg3 Bxe2 27. Nxh5 Bxd1 28. Rfxd1 1-0"
